accession	clade
JQ638921.1	G1a
JX018180.1	G1a
KM887144.1	G1a
KU664503.1	G1a
PP395570.1	G1a
JN599150.1	G1b
JQ239432.1	G1b
JQ638924.1	G1b
KC210146.1	G1b
KP162057.1	G1b
KR514324.1	G1b
KT323979.1	G1b
KX534206.1	G1b
MG820029.1	G1b
MN315264.1	G1b
MT031818.1	G1b
MT843279.1	G1b
MZ596343.1	G1b
OM814174.1	G1b
OP688373.1	G1b
OQ731917.1	G1b
PP395576.1	G1b
PV167803.1	G1b
PV167804.1	G1b
PV167805.1	G1b
PV167807.1	G1b
PV232221.1	G1b
PX439079.1	G1b
JN315706.1	G2a
JN381492.1	G2a
JN543367.1	G2a
JN825706.1	G2a
JN825707.1	G2a
JN825708.1	G2a
JN825709.1	G2a
JN825710.1	G2a
JN825711.1	G2a
JN825712.1	G2a
JQ239436.1	G2a
JQ257005.1	G2a
JQ257006.1	G2a
JQ257007.1	G2a
JQ282909.1	G2a
JQ517274.1	G2a
JQ627653.1	G2a
JQ627654.1	G2a
JQ638916.1	G2a
JQ638917.1	G2a
JQ638919.1	G2a
JQ638920.1	G2a
JQ638922.1	G2a
JQ771751.1	G2a
JQ771752.1	G2a
JQ771753.1	G2a
JQ979289.1	G2a
JQ979291.1	G2a
JX018182.1	G2a
JX018183.1	G2a
JX070671.1	G2a
JX088695.1	G2a
JX163294.1	G2a
JX242459.1	G2a
JX242461.1	G2a
JX258672.1	G2a
JX435298.1	G2a
JX435299.1	G2a
JX435300.1	G2a
JX435301.1	G2a
JX435302.1	G2a
JX435303.1	G2a
JX435304.1	G2a
JX435305.1	G2a
JX501317.1	G2a
JX501319.1	G2a
JX501320.1	G2a
JX501321.1	G2a
JX501322.1	G2a
JX501323.1	G2a
JX512907.1	G2a
JX524137.1	G2a
KC140102.1	G2a
KC196276.1	G2a
KC210145.1	G2a
KC210147.1	G2a
KC242897.1	G2a
KC242898.1	G2a
KC242899.1	G2a
KC242900.1	G2a
KC242901.1	G2a
KC242902.1	G2a
KC242903.1	G2a
KC242904.1	G2a
KC242905.1	G2a
KC242906.1	G2a
KC242907.1	G2a
KC242908.1	G2a
KC242909.1	G2a
KC242910.1	G2a
KC242911.1	G2a
KC242912.1	G2a
KC787537.1	G2a
KC787538.1	G2a
KC787540.1	G2a
KC787541.1	G2a
KC787542.1	G2a
KC787544.1	G2a
KC787545.1	G2a
KF177255.1	G2a
KF177256.1	G2a
KF177257.1	G2a
KF177258.1	G2a
KF294254.1	G2a
KF294255.1	G2a
KF294256.1	G2a
KF453510.1	G2a
KF453511.1	G2a
