strain	accession	clade	description
JN315706.1	JN315706.1	G2a	Porcine epidemic diarrhea virus strain CH/FJND-2/2011 spike protein (S) gene, complete cds
JN381492.1	JN381492.1	G2a	Porcine epidemic diarrhea virus strain CH/FJND-3/2011 spike protein (S) gene, complete cds
JN543367.1	JN543367.1	G2a	Porcine epidemic diarrhea virus strain CH/FJND-1/2011 spike protein (S) gene, complete cds
JN825706.1	JN825706.1	G2a	Porcine epidemic diarrhea virus isolate BJ-2011-2 spike protein (S) mRNA, complete cds
JN825707.1	JN825707.1	G2a	Porcine epidemic diarrhea virus isolate HB-2011-1 spike protein (S) mRNA, complete cds
JN825708.1	JN825708.1	G2a	Porcine epidemic diarrhea virus isolate HB-2011-2 spike protein (S) mRNA, complete cds
JN825709.1	JN825709.1	G2a	Porcine epidemic diarrhea virus isolate HB-2011-3 spike protein (S) mRNA, complete cds
JN825710.1	JN825710.1	G2a	Porcine epidemic diarrhea virus isolate ZJ-2011-1 spike protein (S) mRNA, complete cds
JN825711.1	JN825711.1	G2a	Porcine epidemic diarrhea virus isolate ZJ-2011-2 spike protein (S) mRNA, complete cds
JN825712.1	JN825712.1	G2a	Porcine epidemic diarrhea virus isolate BJ-2011-1, complete genome
JQ239436.1	JQ239436.1	G2a	Porcine epidemic diarrhea virus strain CH8 spike protein (S) gene, complete cds
JQ257005.1	JQ257005.1	G2a	Porcine epidemic diarrhea virus strain CH/KF/11 spike protein gene, complete cds
JQ257006.1	JQ257006.1	G2a	Porcine epidemic diarrhea virus strain CH/YY/11 spike protein gene, complete cds
JQ257007.1	JQ257007.1	G2a	Porcine epidemic diarrhea virus strain CH/ZY/11 spike protein gene, complete cds
JQ282909.1	JQ282909.1	G2a	Porcine epidemic diarrhea virus strain CH/FJND-3/2011, complete genome
JQ517274.1	JQ517274.1	G2a	Porcine epidemic diarrhea virus isolate HuN spike protein (S) gene, complete cds
JQ627653.1	JQ627653.1	G2a	Porcine epidemic diarrhea virus strain CH/AY/11 spike protein gene, complete cds
JQ627654.1	JQ627654.1	G2a	Porcine epidemic diarrhea virus strain CH/CG/11 spike protein gene, complete cds
JQ638916.1	JQ638916.1	G2a	Porcine epidemic diarrhea virus strain CH/HLJHH/2011 spike glycoprotein S2 (S) gene, complete cds
JQ638917.1	JQ638917.1	G2a	Porcine epidemic diarrhea virus strain CH/SDLY/2011 spike glycoprotein S2 (S) gene, complete cds
JQ638919.1	JQ638919.1	G2a	Porcine epidemic diarrhea virus strain CH/SDQD/2011 spike glycoprotein S2 (S) gene, complete cds
JQ638920.1	JQ638920.1	G2a	Porcine epidemic diarrhea virus strain CH/JLCC/2011 spike glycoprotein S2 (S) gene, complete cds
JQ638922.1	JQ638922.1	G2a	Porcine epidemic diarrhea virus strain CH/HBQHD/2011 spike glycoprotein S2 (S) gene, complete cds
