accession	description	source_file	line_no	clade	reason
JX242459.1	Porcine epidemic diarrhea virus isolate CH-SONGB-12-2011 spike protein gene, partial cds	G2achinanew.txt	227	G2a	missing_from_source_fasta
JX242461.1	Porcine epidemic diarrhea virus isolate CH-ZWC-12-2011 spike protein gene, partial cds	G2achinanew.txt	192	G2a	missing_from_source_fasta
KM213245.1	Porcine epidemic diarrhea virus isolate ZJ13LY1201 S protein (S) gene, complete cds	G2achinanew.txt	24	G2a	missing_from_source_fasta
KY211038.1	Porcine epidemic diarrhea virus isolate JZ1S spike protein gene, complete cds	G2achinanew.txt	123	G2a	missing_from_source_fasta
KY211039.1	Porcine epidemic diarrhea virus isolate LH1S spike protein gene, complete cds	G2achinanew.txt	176	G2a	missing_from_source_fasta
KY211040.1	Porcine epidemic diarrhea virus isolate LH2S spike protein gene, complete cds	G2achinanew.txt	139	G2a	missing_from_source_fasta
KY211041.1	Porcine epidemic diarrhea virus isolate LY1S spike protein gene, complete cds	G2achinanew.txt	53	G2a	missing_from_source_fasta
KY211042.1	Porcine epidemic diarrhea virus isolate NY1S spike protein gene, complete cds	G2achinanew.txt	291	G2a	missing_from_source_fasta
KY211043.1	Porcine epidemic diarrhea virus isolate NY2S spike protein gene, complete cds	G2achinanew.txt	506	G2a	missing_from_source_fasta
KY211045.1	Porcine epidemic diarrhea virus isolate NY4S nonfunctional spike protein gene, partial sequence	G2achinanew.txt	301	G2a	missing_from_source_fasta
KY211046.1	Porcine epidemic diarrhea virus isolate NY5S spike protein gene, complete cds	G2achinanew.txt	33	G2a	missing_from_source_fasta
KY211047.1	Porcine epidemic diarrhea virus isolate NY6S spike protein gene, complete cds	G2achinanew.txt	346	G2a	missing_from_source_fasta
KY211048.1	Porcine epidemic diarrhea virus isolate NY7S spike protein gene, complete cds	G2achinanew.txt	105	G2a	missing_from_source_fasta
KY211049.1	Porcine epidemic diarrhea virus isolate NY8S nonfunctional spike protein gene, partial sequence	G2achinanew.txt	539	G2a	missing_from_source_fasta
KY211051.1	Porcine epidemic diarrhea virus isolate NY10S nonfunctional spike protein gene, partial sequence	G2achinanew.txt	57	G2a	missing_from_source_fasta
KY211053.1	Porcine epidemic diarrhea virus isolate PDS2S spike protein gene, complete cds	G2achinanew.txt	167	G2a	missing_from_source_fasta
