strain	accession	clade	description	original_date	date	date_precision
JN315706.1	JN315706.1	G2a	Porcine epidemic diarrhea virus strain CH/FJND-2/2011 spike protein (S) gene, complete cds	2011	2011-07-01	year
JN381492.1	JN381492.1	G2a	Porcine epidemic diarrhea virus strain CH/FJND-3/2011 spike protein (S) gene, complete cds	2011	2011-07-01	year
JN543367.1	JN543367.1	G2a	Porcine epidemic diarrhea virus strain CH/FJND-1/2011 spike protein (S) gene, complete cds	2011	2011-07-01	year
JN825706.1	JN825706.1	G2a	Porcine epidemic diarrhea virus isolate BJ-2011-2 spike protein (S) mRNA, complete cds	2011	2011-07-01	year
JN825707.1	JN825707.1	G2a	Porcine epidemic diarrhea virus isolate HB-2011-1 spike protein (S) mRNA, complete cds	2011	2011-07-01	year
JN825708.1	JN825708.1	G2a	Porcine epidemic diarrhea virus isolate HB-2011-2 spike protein (S) mRNA, complete cds	2011	2011-07-01	year
JN825709.1	JN825709.1	G2a	Porcine epidemic diarrhea virus isolate HB-2011-3 spike protein (S) mRNA, complete cds	2011	2011-07-01	year
JN825710.1	JN825710.1	G2a	Porcine epidemic diarrhea virus isolate ZJ-2011-1 spike protein (S) mRNA, complete cds	2011	2011-07-01	year
JN825711.1	JN825711.1	G2a	Porcine epidemic diarrhea virus isolate ZJ-2011-2 spike protein (S) mRNA, complete cds	2011	2011-07-01	year
JQ239436.1	JQ239436.1	G2a	Porcine epidemic diarrhea virus strain CH8 spike protein (S) gene, complete cds	2011	2011-07-01	year
JQ257005.1	JQ257005.1	G2a	Porcine epidemic diarrhea virus strain CH/KF/11 spike protein gene, complete cds	2011	2011-07-01	year
JQ257006.1	JQ257006.1	G2a	Porcine epidemic diarrhea virus strain CH/YY/11 spike protein gene, complete cds	2011	2011-07-01	year
JQ257007.1	JQ257007.1	G2a	Porcine epidemic diarrhea virus strain CH/ZY/11 spike protein gene, complete cds	2011	2011-07-01	year
JQ627653.1	JQ627653.1	G2a	Porcine epidemic diarrhea virus strain CH/AY/11 spike protein gene, complete cds	2011	2011-07-01	year
JQ627654.1	JQ627654.1	G2a	Porcine epidemic diarrhea virus strain CH/CG/11 spike protein gene, complete cds	2011	2011-07-01	year
JQ638916.1	JQ638916.1	G2a	Porcine epidemic diarrhea virus strain CH/HLJHH/2011 spike glycoprotein S2 (S) gene, complete cds	2011	2011-07-01	year
JQ638917.1	JQ638917.1	G2a	Porcine epidemic diarrhea virus strain CH/SDLY/2011 spike glycoprotein S2 (S) gene, complete cds	2011	2011-07-01	year
JQ638919.1	JQ638919.1	G2a	Porcine epidemic diarrhea virus strain CH/SDQD/2011 spike glycoprotein S2 (S) gene, complete cds	2011	2011-07-01	year
JQ638920.1	JQ638920.1	G2a	Porcine epidemic diarrhea virus strain CH/JLCC/2011 spike glycoprotein S2 (S) gene, complete cds	2011	2011-07-01	year
JQ638922.1	JQ638922.1	G2a	Porcine epidemic diarrhea virus strain CH/HBQHD/2011 spike glycoprotein S2 (S) gene, complete cds	2011	2011-07-01	year
JQ979289.1	JQ979289.1	G2a	Porcine epidemic diarrhea virus strain CH17-GZ spike protein (S) gene, complete cds	Jun-2011	2011-06-15	month
JQ979291.1	JQ979291.1	G2a	Porcine epidemic diarrhea virus strain CH18-Hainan spike protein (S) gene, complete cds	May-2011	2011-05-15	month
JX018182.1	JX018182.1	G2a	Porcine epidemic diarrhea virus isolate CH/AHHF-2/2012 spike protein gene, complete cds	2012	2012-07-01	year
JX018183.1	JX018183.1	G2a	Porcine epidemic diarrhea virus isolate CH/HBSN/2012 spike protein gene, complete cds	2012	2012-07-01	year
JX070671.1	JX070671.1	G2a	Porcine epidemic diarrhea virus isolate CH/FJXM-1/2012 spike protein gene, complete cds	2012	2012-07-01	year
JX088695.1	JX088695.1	G2a	Porcine epidemic diarrhea virus strain GD-B, complete genome	2012	2012-07-01	year
