PP395586.1 Porcine epidemic diarrhea virus strain SC2022MS spike protein (S) gene, complete cds
MH991840.1 Porcine epidemic diarrhea virus strain N14-ZJ2017 S protein (S) gene, complete cds
MH991841.1 Porcine epidemic diarrhea virus strain N5-ZJ2017 S protein (S) gene, complete cds
PQ316091.1 Porcine epidemic diarrhea virus isolate CH/HBJL2023, complete genome
MN368678.1 Porcine epidemic diarrhea virus isolate GXnn15 spike protein (S) gene, complete cds
MN368669.1 Porcine epidemic diarrhea virus isolate GDhz15 spike protein (S) gene, complete cds
MN368668.1 Porcine epidemic diarrhea virus isolate GDhy15 spike protein (S) gene, complete cds
MN368672.1 Porcine epidemic diarrhea virus isolate GDsg15-1 spike protein (S) gene, complete cds
OQ349203.1 Porcine epidemic diarrhea virus isolate FJ1207 spike protein (S) gene, complete cds
KF840551.1 Porcine epidemic diarrhea virus isolate CH/HuBWHYQ/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
OL855982.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SX05-2019 sequence
OL855983.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SX06-2019 sequence
MH991827.1 Porcine epidemic diarrhea virus strain B10-GD2017 S protein (S) gene, complete cds
MK532989.1 Porcine epidemic diarrhea virus strain B9-GD2017 spike protein (S) gene, complete cds
ON417000.1 Porcine epidemic diarrhea virus isolate JS2019-1 spike protein gene, complete cds
MG198652.1 Porcine epidemic diarrhea virus isolate JSSH1506 spike protein gene, complete cds
MG020542.1 Porcine epidemic diarrhea virus isolate CH-HBMC-1-2016 spike protein (S) gene, complete cds
MG020545.1 Porcine epidemic diarrhea virus isolate CH-JSZJ-1-2016 spike protein (S) gene, complete cds
MT338518.1 Porcine epidemic diarrhea virus strain HNAY2016, complete genome
MK111633.1 Porcine epidemic diarrhea virus isolate CH/HNAY/2016 spike protein gene, complete cds
KT239516.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHLA-1 spike protein-like gene, complete sequence
OQ349202.1 Porcine epidemic diarrhea virus isolate ZJ3(2021), complete genome
OQ349226.1 Porcine epidemic diarrhea virus isolate ZJ3 spike protein (S) gene, complete cds
KU743299.1 Porcine epidemic diarrhea virus strain AHCZ-1 spike protein (S) gene, complete cds
MN368682.1 Porcine epidemic diarrhea virus isolate GDzq16 spike protein (S) gene, complete cds
MN368685.1 Porcine epidemic diarrhea virus isolate GDhy16 spike protein (S) gene, complete cds
MG546690.1 Porcine epidemic diarrhea virus strain CH/BJ11/2016, complete genome
MG546688.1 UNVERIFIED: Porcine epidemic diarrhea virus strain CH/BJ2/2016 genomic sequence
OR576823.1 Porcine epidemic diarrhea virus isolate CH/GD442/2022 spike protein (S) gene, complete cds
KU743296.1 Porcine epidemic diarrhea virus strain AHSZ-2 spike protein (S) gene, complete cds
KT239512.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHCZ-1 spike protein-like gene, complete sequence
MG198667.1 Porcine epidemic diarrhea virus isolate JSYZ1511 spike protein gene, complete cds
KU133269.1 Porcine epidemic diarrhea virus isolate CH-SDZC-2015 spike protein (S) gene, complete cds
MN368677.1 Porcine epidemic diarrhea virus isolate GDzq15-3 spike protein (S) gene, complete cds
MH726382.1 Porcine epidemic diarrhea virus isolate GDS47, complete genome
MH991831.1 Porcine epidemic diarrhea virus strain F12-HA2017 S protein (S) gene, complete cds
MK532993.1 Porcine epidemic diarrhea virus strain F14-HA2017 spike protein (S) gene, complete cds
MN368686.1 Porcine epidemic diarrhea virus isolate GDhz16 spike protein (S) gene, complete cds
MN368692.1 Porcine epidemic diarrhea virus isolate GDyj16 spike protein (S) gene, complete cds
MG198653.1 Porcine epidemic diarrhea virus isolate JSSH1603 spike protein gene, complete cds
MW478760.1 Porcine epidemic diarrhea virus isolate GDsg01 spike protein (S) gene, complete cds
ON988088.1 Porcine epidemic diarrhea virus isolate SDHY_TA03 spike protein (S) gene, partial cds
ON988095.1 Porcine epidemic diarrhea virus isolate SDHY_JN01 spike protein (S) gene, partial cds
KX073609.1 Porcine epidemic diarrhea virus isolate GZKY S protein (S) gene, complete cds
MK532995.1 Porcine epidemic diarrhea virus strain L1-HB2017 spike protein (S) gene, complete cds
MH991836.1 Porcine epidemic diarrhea virus strain L6-HB2017 S protein (S) gene, complete cds
MK644602.1 Porcine epidemic diarrhea virus isolate L6-HB2017, complete genome
PP395587.1 Porcine epidemic diarrhea virus strain SC2022ZG spike protein (S) gene, complete cds
KT239519.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHBZ-1 spike protein-like gene, complete sequence
KY496320.1 Porcine epidemic diarrhea virus strain CH_sheqi_2015 S protein (S) gene, complete cds
KT239505.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHFY-1 spike protein-like gene, complete sequence
KU975405.1 Porcine epidemic diarrhea virus isolate CH-SCAY-2014 spike protein (S) gene, complete cds
KU133236.1 Porcine epidemic diarrhea virus isolate CH-SDDP-1-2014 spike protein (S) gene, complete cds
MK656505.1 Porcine epidemic diarrhea virus strain JN1806-24 S protein gene, partial cds
MZ364313.1 Porcine epidemic diarrhea virus strain CH/GX/PEDV/1984/2018, complete genome
MN368695.1 Porcine epidemic diarrhea virus isolate FJfz17-1 spike protein (S) gene, complete cds
MT166307.1 Porcine epidemic diarrhea virus strain HB2018, complete genome
MN893422.1 Porcine epidemic diarrhea virus isolate CH-HNZK-1-2017 spike glycoprotein gene, complete cds
ON988085.1 Porcine epidemic diarrhea virus isolate SDHY_DY spike protein (S) gene, partial cds
KY679906.1 Porcine epidemic diarrhea virus isolate SDSX16 S protein (S) gene, complete cds
MT843278.1 Porcine epidemic diarrhea virus, complete genome
MN841671.1 Porcine epidemic diarrhea virus strain SHXX1902, complete genome
MT303066.1 Porcine epidemic diarrhea virus strain shxx1902, complete genome
MN368665.1 Porcine epidemic diarrhea virus isolate FJzz15 spike protein (S) gene, complete cds
MK628688.1 Porcine epidemic diarrhea virus spike protein gene, complete cds
MN368681.1 Porcine epidemic diarrhea virus isolate JXgz15 spike protein (S) gene, complete cds
MN893411.1 Porcine epidemic diarrhea virus isolate CH-HNLH-2016 spike glycoprotein gene, complete cds
MN893406.1 Porcine epidemic diarrhea virus isolate CH-HNAY-2016 spike glycoprotein gene, complete cds
MN893407.1 Porcine epidemic diarrhea virus isolate CH-HNAY-2017 spike glycoprotein gene, complete cds
MN893412.1 Porcine epidemic diarrhea virus isolate CH-HNLH-2017 spike glycoprotein gene, complete cds
MT090140.1 Porcine epidemic diarrhea virus strain SX/YC/2019 spike protein (S) gene, complete cds
MH593140.1 Porcine epidemic diarrhea virus isolate CH/SCDY503/2018 spike protein (S) gene, complete cds
MZ161031.1 Porcine epidemic diarrhea virus strain CH/HBTS/10/2020 spike protein (S) gene, complete cds
MN893413.1 Porcine epidemic diarrhea virus isolate CH-HNNY-2017 spike glycoprotein gene, complete cds
