accession	description	source_file	line_no	clade	source_header	raw_date	reason
JN825712.1	Porcine epidemic diarrhea virus isolate BJ-2011-1, complete genome	G2achinanew.txt	201	G2a	JN825712.1|BJ-2011-1|25-Apr-2011|China	25-Apr-2011	missing_or_unparseable_date
JQ282909.1	Porcine epidemic diarrhea virus strain CH/FJND-3/2011, complete genome	G2achinanew.txt	409	G2a	JQ282909.1|CH/FJND-3/2011|03-May-2011|China	03-May-2011	missing_or_unparseable_date
JQ517274.1	Porcine epidemic diarrhea virus isolate HuN spike protein (S) gene, complete cds	G2achinanew.txt	228	G2a	JQ517274.1|HuN|18-Jun-2011|China	18-Jun-2011	missing_or_unparseable_date
JQ771751.1	Porcine epidemic diarrhea virus strain SH S protein mRNA, complete cds	G2achinanew.txt	481	G2a	JQ771751.1|SH|20-Oct-2011|China	20-Oct-2011	missing_or_unparseable_date
JQ771752.1	Porcine epidemic diarrhea virus strain ZB S protein mRNA, complete cds	G2achinanew.txt	260	G2a	JQ771752.1|ZB|17-Dec-2011|China	17-Dec-2011	missing_or_unparseable_date
JQ771753.1	Porcine epidemic diarrhea virus strain YS S protein mRNA, complete cds	G2achinanew.txt	23	G2a	JQ771753.1|YS|02-Feb-2012|China	02-Feb-2012	missing_or_unparseable_date
JX163294.1	Porcine epidemic diarrhea virus isolate HBMC2012 S protein (S) gene, complete cds	G2achinanew.txt	590	G2a	JX163294.1|HBMC2012|06-May-2012|China	06-May-2012	missing_or_unparseable_date
JX524137.1	Porcine epidemic diarrhea virus strain ZJCZ4, complete genome	G2achinanew.txt	10	G2a	JX524137.1|ZJCZ4|10-Apr-2011|China	10-Apr-2011	missing_or_unparseable_date
KC140102.1	Porcine epidemic diarrhea virus strain CH/FJZZ-9/2012, complete genome	G2achinanew.txt	325	G2a	KC140102.1|CH/FJZZ-9/2012|20-Aug-2012|China	20-Aug-2012	missing_or_unparseable_date
KC210145.1	Porcine epidemic diarrhea virus strain AH2012, complete genome	G2achinanew.txt	97	G2a	KC210145.1|AH2012|15-Mar-2012|China	15-Mar-2012	missing_or_unparseable_date
KF177255.1	Porcine epidemic diarrhea virus isolate JY6C spike protein (S) gene, complete cds	G2achinanew.txt	126	G2a	KF177255.1|JY6C|01-Aug-2012|China	01-Aug-2012	missing_or_unparseable_date
KF177256.1	Porcine epidemic diarrhea virus isolate JY7C spike protein (S) gene, complete cds	G2achinanew.txt	410	G2a	KF177256.1|JY7C|01-Aug-2012|China	01-Aug-2012	missing_or_unparseable_date
KF177257.1	Porcine epidemic diarrhea virus isolate YJ3F spike protein (S) gene, complete cds	G2achinanew.txt	504	G2a	KF177257.1|YJ3F|01-Aug-2012|China	01-Aug-2012	missing_or_unparseable_date
KF177258.1	Porcine epidemic diarrhea virus isolate YJ7C spike protein (S) gene, complete cds	G2achinanew.txt	330	G2a	KF177258.1|YJ7C|01-Aug-2012|China	01-Aug-2012	missing_or_unparseable_date
KF294256.1	Porcine epidemic diarrhea virus isolate GJL spike protein (S) gene, complete cds	G2achinanew.txt	91	G2a	KF294256.1|GJL|29-Aug-2012|China	29-Aug-2012	missing_or_unparseable_date
KF453510.1	Porcine epidemic diarrhea virus isolate AH120411 S protein gene, partial cds	G2achinanew.txt	20	G2a	KF453510.1|AH120411|11-Apr-2012|China	11-Apr-2012	missing_or_unparseable_date
KF453511.1	Porcine epidemic diarrhea virus isolate GX120308 S protein gene, partial cds	G2achinanew.txt	11	G2a	KF453511.1|GX120308|08-Mar-2012|China	08-Mar-2012	missing_or_unparseable_date
KF453512.1	Porcine epidemic diarrhea virus isolate HB121229 S protein gene, partial cds	G2achinanew.txt	160	G2a	KF453512.1|HB121229|29-Dec-2012|China	29-Dec-2012	missing_or_unparseable_date
