KX532182.1 Porcine epidemic diarrhea virus strain CH_SXJZY15_2015 spike protein (S), ORF3 protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MN412558.1 Porcine epidemic diarrhea virus strain HN-HB1/2018 S protein (S) gene, complete cds
MF782686.1 Porcine epidemic diarrhea virus strain NW17, complete genome
MG132633.1 Porcine epidemic diarrhea virus isolate HB1604 spike protein mRNA, complete cds
JQ627653.1 Porcine epidemic diarrhea virus strain CH/AY/11 spike protein gene, complete cds
MF152600.1 Porcine epidemic diarrhea virus strain CH/HNCD/2016 spike protein gene, complete cds
MH991842.1 Porcine epidemic diarrhea virus strain N7-GD2017 S protein (S) gene, complete cds
MK138516.1 Porcine epidemic diarrhea virus strain V7-HB2018, complete genome
OP727263.1 UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus strain LNct2a spike protein (S) gene, complete cds
JX524137.1 Porcine epidemic diarrhea virus strain ZJCZ4, complete genome
KF453511.1 Porcine epidemic diarrhea virus isolate GX120308 S protein gene, partial cds
KF453516.1 Porcine epidemic diarrhea virus isolate ZJ110618 S protein gene, partial cds
KP399627.1 Porcine epidemic diarrhea virus strain CH-CWC-10-2013 S protein (S) gene, complete cds
KJ020932.1 Porcine epidemic diarrhea virus isolate CHYJ130330, complete genome
JX435305.1 Porcine epidemic diarrhea virus isolate HB-2012-4 spike protein (S) mRNA, complete cds
KP698764.2 Porcine epidemic diarrhea virus isolate GD14 spike gene, complete cds
MH117940.1 Porcine epidemic diarrhea virus isolate SDSX16, complete genome
MN368696.1 Porcine epidemic diarrhea virus isolate FJfz17-2 spike protein (S) gene, complete cds
KP870116.1 Porcine epidemic diarrhea virus isolate CH/GD-04/2012 spike protein (S) gene, complete cds
KF453510.1 Porcine epidemic diarrhea virus isolate AH120411 S protein gene, partial cds
KX073607.1 Porcine epidemic diarrhea virus isolate GZGL S protein (S) gene, complete cds
KM225242.1 Porcine epidemic diarrhea virus strain HN26 spike protein (S) gene, complete cds
JQ771753.1 Porcine epidemic diarrhea virus strain YS S protein mRNA, complete cds
KM213245.1 Porcine epidemic diarrhea virus isolate ZJ13LY1201 S protein (S) gene, complete cds
OR090887.1 Porcine epidemic diarrhea virus isolate PEDV/CH/XU/2020, complete genome
MK656512.1 Porcine epidemic diarrhea virus strain QD1807-67 S protein gene, partial cds
KP399606.1 Porcine epidemic diarrhea virus strain CH-STC-09-2014 S protein (S) gene, complete cds
MN368688.1 Porcine epidemic diarrhea virus isolate GDjm16-2 spike protein (S) gene, complete cds
KU133252.1 Porcine epidemic diarrhea virus isolate CH-SDLY-2-2012 spike protein (S) gene, complete cds
KY075783.1 Porcine epidemic diarrhea virus strain LNsy1/2014 S protein (S) gene, complete cds
KR296668.1 Porcine epidemic diarrhea virus strain CH-HSYKFC-01-2015 S protein (S) gene, complete cds
OL907259.1 Porcine epidemic diarrhea virus strain CH-GSWW-2019 spike protein (S) gene, complete cds
KY211046.1 Porcine epidemic diarrhea virus isolate NY5S spike protein gene, complete cds
MK533002.1 Porcine epidemic diarrhea virus strain N1-GD2017 spike protein (S) gene, complete cds
MT294130.1 Porcine epidemic diarrhea virus isolate JLSD-2018 spike glycoprotein (S) gene, complete cds
MN412561.1 Porcine epidemic diarrhea virus strain HN-XC2/2018 S protein (S) gene, complete cds
MF807952.1 Porcine epidemic diarrhea virus strain B5-HB2017, complete genome
KF738264.1 Porcine epidemic diarrhea virus strain ZJ121030 spike protein gene, complete cds
KU556285.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate LY5-113 S protein-like gene, partial sequence
MF462814.1 Porcine epidemic diarrhea virus strain CH/SXYL/2016, complete genome
OR596889.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate YJH141-2015 genomic sequence
OQ349224.1 Porcine epidemic diarrhea virus isolate SHdt3 spike protein (S) gene, complete cds
KR818833.1 Porcine epidemic diarrhea virus strain JSHA2013, complete genome
MF038015.1 Porcine epidemic diarrhea virus isolate PED-JS-2016-01 spike glycoprotein (S) gene, complete cds
JX435304.1 Porcine epidemic diarrhea virus isolate HB-2012-3 spike protein (S) mRNA, complete cds
KR514319.1 Porcine epidemic diarrhea virus isolate CH/NMG/EEDS spike protein gene, complete cds
JQ979291.1 Porcine epidemic diarrhea virus strain CH18-Hainan spike protein (S) gene, complete cds
MN368706.1 Porcine epidemic diarrhea virus isolate GDsg17 spike protein (S) gene, complete cds
KY496319.1 Porcine epidemic diarrhea virus strain CH_shanxi_2015 S protein (S) gene, complete cds
OR085283.1 Porcine epidemic diarrhea virus isolate PEDV-AHWH16-2022, complete genome
MN617863.1 Porcine epidemic diarrhea virus isolate CH/SCGY-1/2018 spike protein (S) gene, complete cds
MN721363.1 Porcine epidemic diarrhea virus isolate CH-GS-TS01 spike protein gene, complete cds
KY211041.1 Porcine epidemic diarrhea virus isolate LY1S spike protein gene, complete cds
KM225240.1 Porcine epidemic diarrhea virus strain FJ64 spike protein (S) gene, complete cds
KF840540.1 Porcine epidemic diarrhea virus isolate CH/ZJJS-1Z/2012 spike protein (S), hypothetical protein (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MN368710.1 Porcine epidemic diarrhea virus isolate FJfz18-1 spike protein (S) gene, complete cds
KY211051.1 Porcine epidemic diarrhea virus isolate NY10S nonfunctional spike protein gene, partial sequence
JX435300.1 Porcine epidemic diarrhea virus isolate BJ-2012-2 spike protein (S) mRNA, complete cds
KJ646580.1 Porcine epidemic diarrhea virus strain FJ-FQ 2014 spike protein (S) gene, complete cds
JN315706.1 Porcine epidemic diarrhea virus strain CH/FJND-2/2011 spike protein (S) gene, complete cds
KC242900.1 Porcine epidemic diarrhea virus isolate HB2-20122 spike protein gene, complete cds
KR296681.1 Porcine epidemic diarrhea virus strain CH-ZWBZb-01-2015 S protein (S) gene, complete cds
MK656511.1 Porcine epidemic diarrhea virus strain QD1807-65 S protein gene, partial cds
PV523947.1 Porcine epidemic diarrhea virus isolate GX02-04-CN_2022 spike protein (S) gene, complete cds
MG198647.1 Porcine epidemic diarrhea virus isolate JSJR1512 spike protein gene, complete cds
KT989365.1 Porcine epidemic diarrhea virus isolate CH-HNAY-15.4 spike protein gene, complete cds
OP603897.1 Porcine epidemic diarrhea virus isolate PEDV-GX6/2021, complete genome
MF782687.1 Porcine epidemic diarrhea virus strain NW8, complete genome
KR514321.1 Porcine epidemic diarrhea virus isolate CH/NMG/HLBE spike protein gene, complete cds
OQ349215.1 Porcine epidemic diarrhea virus isolate FJ2006 spike protein (S) gene, complete cds
KP399612.1 Porcine epidemic diarrhea virus strain CH-XSC-04-2013 S protein (S) gene, complete cds
OL855978.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SX01-2014 sequence
KX550281.1 Porcine epidemic diarrhea virus strain ZJ15XS0101 P1, complete genome
KT239508.1 UNVERIFIED: Porcine epidemic diarrhea virus strain AHXC-1 spike protein-like gene, complete sequence
OQ349210.1 Porcine epidemic diarrhea virus isolate FJ1609 spike protein (S) gene, complete cds
KY496318.1 Porcine epidemic diarrhea virus strain CH_nanyang_2016 S protein (S) gene, complete cds
MN368666.1 Porcine epidemic diarrhea virus isolate GDgz15-1 spike protein (S) gene, complete cds
KJ646578.1 Porcine epidemic diarrhea virus strain FJ-ZP 2013 spike protein (S) gene, complete cds
KP698762.2 Porcine epidemic diarrhea virus isolate GD12 spike gene, complete cds
PP998009.1 Porcine epidemic diarrhea virus isolate GX4/2023, complete genome
MF038012.1 Porcine epidemic diarrhea virus isolate PED-JS-2016-05-5 spike glycoprotein (S) gene, complete cds
KP399611.1 Porcine epidemic diarrhea virus strain CH-YGC-11-2013 S protein (S) gene, complete cds
KM406179.1 Porcine epidemic diarrhea virus strain MY1402 S protein (S) gene, complete cds
MT090139.1 Porcine epidemic diarrhea virus strain HN/XC/2019 spike protein (S) gene, complete cds
KF546800.1 Porcine epidemic diarrhea virus isolate GDFS/2011 spike protein (S) gene, complete cds
MF152598.1 Porcine epidemic diarrhea virus strain CH/GSTS/2016 spike protein gene, complete cds
KU133244.1 Porcine epidemic diarrhea virus isolate CH-SDHZ-4-2013 spike protein (S) gene, complete cds
KY211065.1 Porcine epidemic diarrhea virus isolate XY9S nonfunctional spike protein gene, partial sequence
OR365276.1 Porcine epidemic diarrhea virus strain 17GXCZ-1ORF3c-P30 S protein (S), ORF3 protein (ORF3), E protein (E), M protein (M), and N protein (N) genes, complete cds
