MH726393.1 Porcine epidemic diarrhea virus isolate GDS14, complete genome
JX242458.1 Porcine epidemic diarrhea virus isolate CH-LC-10-2011 spike protein gene, partial cds
JX242463.1 Porcine epidemic diarrhea virus isolate CH-LC-12-2011 spike protein gene, partial cds
JX188454.1 Porcine epidemic diarrhea virus strain AJ1102, complete genome
JX489155.1 Porcine epidemic diarrhea virus strain LC, complete genome
KT021228.1 Porcine epidemic diarrhea virus strain YN15, complete genome
KM225247.1 Porcine epidemic diarrhea virus strain YN4-15 spike protein (S) gene, complete cds
KM225248.1 Porcine epidemic diarrhea virus strain YN4-30 spike protein (S) gene, complete cds
MZ604716.1 Porcine epidemic diarrhea virus strain YN17, complete genome
KT021229.1 Porcine epidemic diarrhea virus strain YN30, complete genome
KT021230.1 Porcine epidemic diarrhea virus strain YN60, complete genome
KT021231.1 Porcine epidemic diarrhea virus strain YN90, complete genome
KM225249.1 Porcine epidemic diarrhea virus strain YN4-60 spike protein (S) gene, complete cds
KM225250.1 Porcine epidemic diarrhea virus strain YN4-90 spike protein (S) gene, complete cds
KT021233.1 Porcine epidemic diarrhea virus strain YN200, complete genome
MZ581326.1 Porcine epidemic diarrhea virus strain YN150, complete genome
KM225251.1 Porcine epidemic diarrhea virus strain YN4-120 spike protein (S) gene, complete cds
KM225252.1 Porcine epidemic diarrhea virus strain YN4-144 spike protein (S) gene, complete cds
OP171888.1 Porcine epidemic diarrhea virus isolate FJLY02-2017 spike protein (S) gene, complete cds
OP171891.1 Porcine epidemic diarrhea virus isolate FJLY03-2016 spike protein (S) gene, complete cds
JQ638918.1 Porcine epidemic diarrhea virus strain CH/HBBD/2011 spike glycoprotein S2 (S) gene, complete cds
KP399616.1 Porcine epidemic diarrhea virus strain CH-TPC-03-2013 S protein (S) gene, complete cds
KP399624.1 Porcine epidemic diarrhea virus strain CH-HGCP-12-2013 S protein (S) gene, complete cds
KC787536.1 Porcine epidemic diarrhea virus isolate CH-CCC-01-2013 spike protein gene, partial cds
KT388421.1 Porcine epidemic diarrhea virus isolate CH-CCC-2013 spike glycoprotein gene, complete cds
KP399619.1 Porcine epidemic diarrhea virus strain CH-SHC-12-2013 S protein (S) gene, complete cds
KP399628.1 Porcine epidemic diarrhea virus strain CH-CCC-05-2013 S protein (S) gene, complete cds
MH726398.1 Porcine epidemic diarrhea virus isolate GDS37, complete genome
MH726396.1 Porcine epidemic diarrhea virus isolate GDS35, complete genome
MH726397.1 Porcine epidemic diarrhea virus isolate GDS38, complete genome
MH726394.1 Porcine epidemic diarrhea virus isolate GDS31, complete genome
MH726401.1 Porcine epidemic diarrhea virus isolate GDS41, complete genome
MH726395.1 Porcine epidemic diarrhea virus isolate GDS32, complete genome
MH726399.1 Porcine epidemic diarrhea virus isolate GDS42, complete genome
MH726400.1 Porcine epidemic diarrhea virus isolate GDS45, complete genome
MZ161006.1 Porcine epidemic diarrhea virus strain CH/JSSZ/12/2020 spike protein (S) gene, complete cds
PP580813.1 Porcine epidemic diarrhea virus isolate GD-GZ2020-10 spike protein (S) gene, complete cds
MN368700.1 Porcine epidemic diarrhea virus isolate GDhz17 spike protein (S) gene, complete cds
MN368702.1 Porcine epidemic diarrhea virus isolate GDjm17-2 spike protein (S) gene, complete cds
KU133255.1 Porcine epidemic diarrhea virus isolate CH-SDLY-3-2014 spike protein (S) gene, complete cds
KU380331.1 Porcine epidemic diarrhea virus isolate CH-SD01, complete genome
KU133254.1 Porcine epidemic diarrhea virus isolate CH-SDLY-2-2014 spike protein (S) gene, complete cds
KX791060.1 Porcine epidemic diarrhea virus isolate CHSD2014, complete genome
PP395584.1 Porcine epidemic diarrhea virus strain SC2022YA spike protein (S) gene, complete cds
KY775035.1 Porcine epidemic diarrhea virus isolate HBJM1 spike protein (S) gene, complete cds
KY775036.1 Porcine epidemic diarrhea virus isolate HBJM2 spike protein (S) gene, complete cds
MG334004.1 Porcine epidemic diarrhea virus isolate YnP3 spike glycoprotein (S) gene, complete cds
KP698767.1 Porcine epidemic diarrhea virus isolate GD17 spike gene, complete cds
MZ364308.1 Porcine epidemic diarrhea virus strain CH/GX/PEDV/997/2016, complete genome
MZ364307.1 Porcine epidemic diarrhea virus strain CH/GX/PEDV/938/2016, complete genome
MZ364309.1 Porcine epidemic diarrhea virus strain CH/GX/PEDV/1008/2016, complete genome
KP399607.1 Porcine epidemic diarrhea virus strain CH-SCC-05-2014 S protein (S) gene, complete cds
KP399621.1 Porcine epidemic diarrhea virus strain CH-QTC-11-2013 S protein (S) gene, complete cds
MG132639.1 Porcine epidemic diarrhea virus isolate HB160135 spike protein mRNA, complete cds
MG132637.1 Porcine epidemic diarrhea virus isolate HB160123 spike protein mRNA, complete cds
MG132638.1 Porcine epidemic diarrhea virus isolate HB160134 spike protein mRNA, complete cds
MH726384.1 Porcine epidemic diarrhea virus isolate GDS06, complete genome
KY211050.1 Porcine epidemic diarrhea virus isolate NY9S spike protein gene, complete cds
JQ239429.1 Porcine epidemic diarrhea virus strain CH1 spike protein (S) gene, complete cds
KY211052.1 Porcine epidemic diarrhea virus isolate PDS1S spike protein gene, complete cds
JQ638915.1 Porcine epidemic diarrhea virus strain CH/GD/2011 spike glycoprotein S2 (S) gene, complete cds
KT989354.1 Porcine epidemic diarrhea virus isolate CH-HNKF-14.7 spike protein gene, complete cds
OM201218.1 Porcine epidemic diarrhea virus isolate PEDV/JL89 spike protein gene, complete cds
MW145533.1 Porcine epidemic diarrhea virus strain CH/SCZY-2/2020 spike protein (S) gene, complete cds
OR479077.1 Porcine epidemic diarrhea virus isolate CH/GX2301 spike protein (S) gene, complete cds
KF384500.1 Porcine epidemic diarrhea virus strain CH/GDGZ/2012, complete genome
MH708895.1 Porcine epidemic diarrhea virus isolate FJ2011, complete genome
AB857234.1 Porcine epidemic diarrhea virus S gene for spike protein, complete cds, strain: GDS02
KM609204.1 Porcine epidemic diarrhea virus strain PEDV-7C, complete genome
JX145339.1 Porcine epidemic diarrhea virus strain CH-GDHY-2011 spike protein mRNA, complete cds
KP870115.1 Porcine epidemic diarrhea virus isolate CH/GD-03/2012 spike protein (S) gene, complete cds
MN508818.1 Porcine epidemic diarrhea virus isolate SHpd/2012 S protein (S) gene, complete cds
JN980698.1 Porcine epidemic diarrhea virus isolate CHGD-01 spike protein (S) gene, complete cds
KY211061.1 Porcine epidemic diarrhea virus isolate XY5S spike protein gene, complete cds
JX242454.1 Porcine epidemic diarrhea virus isolate CH-HYC-08-2011 spike protein gene, partial cds
JX242455.1 Porcine epidemic diarrhea virus isolate CH-HYC-10-2011 spike protein gene, partial cds
JX242457.1 Porcine epidemic diarrhea virus isolate CH-HYC-12-2011 spike protein gene, partial cds
JX242456.1 Porcine epidemic diarrhea virus isolate CH-HYC-11-2011 spike protein gene, partial cds
JX242460.1 Porcine epidemic diarrhea virus isolate CH-YHC-12-2011 spike protein gene, partial cds
MG198632.1 Porcine epidemic diarrhea virus isolate JSNJ1602 spike protein gene, complete cds
KF601197.1 Porcine epidemic diarrhea virus isolate HNCZ/2013 spike protein (S) gene, complete cds
KF601199.1 Porcine epidemic diarrhea virus isolate GXHZ/2013 spike protein (S) gene, complete cds
JX018179.1 Porcine epidemic diarrhea virus isolate CH/GXNN/2012 spike protein gene, complete cds
KT989357.1 Porcine epidemic diarrhea virus isolate CH-HNLY-15.4 spike protein gene, complete cds
MK288006.1 Porcine epidemic diarrhea virus isolate FJzz1, complete genome
OP171892.1 Porcine epidemic diarrhea virus isolate FJLY03-2017 spike protein (S) gene, complete cds
KU985230.1 Porcine epidemic diarrhea virus strain GDU spike protein gene, complete cds
JX647847.1 Porcine epidemic diarrhea virus strain GD-1, complete genome
OR576821.1 Porcine epidemic diarrhea virus isolate CH/GD441/2022 spike protein (S) gene, complete cds
MH726385.1 Porcine epidemic diarrhea virus isolate GDS08, complete genome
MH726387.1 Porcine epidemic diarrhea virus isolate GDS12, complete genome
MK392335.1 Porcine epidemic diarrhea virus isolate LW/L, complete genome
MZ161041.1 Porcine epidemic diarrhea virus strain CH/JXPY/07/2020 spike protein (S) gene, complete cds
PP580808.1 Porcine epidemic diarrhea virus isolate AH-FY2022 spike protein (S) gene, complete cds
PP580811.1 Porcine epidemic diarrhea virus isolate SD-TA2022 spike protein (S) gene, complete cds
ON262797.1 Porcine epidemic diarrhea virus strain AH2012/12-P102, complete genome
KU646831.1 Porcine epidemic diarrhea virus isolate AH2012/12, complete genome
MH726386.1 Porcine epidemic diarrhea virus isolate GDS16, complete genome
